"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP S/4HANA 2023";"SAP S/4HANA 2023";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"17.08.2023";"11.10.2023";"11.10.2023";"Ready";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005332";
"SAP NETWEAVER 7.5";"SAP NetWeaver 7.5";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"Unrestricted available";"";"12.10.2015";"20.10.2015";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000414";
"SAP S/4HANA 2025";"SAP S/4HANA 2025";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"Restricted available  (productive use not allowed)";"11.08.2025";"Estimated for Q4/2025";"Estimated for Q4/2025";"Ready";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007121";
"EHP8 FOR SAP ERP 6.0";"SAP enhancement package 8 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"20.01.2016";"20.01.2016";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000247";
"SAP HANA PLATFORM EDITION 2.0";"SAP HANA, platform edition 2.0";"SAP HANA PLATFORM EDITION";"SAP HANA";"Technology Platform";"No";"Unrestricted available";"19.10.2016";"30.11.2016";"01.12.2016";"Ready";"";"30.11.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001301";
"EHP7 FOR SAP ERP 6.0";"SAP enhancement package 7 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"13.08.2013";"13.08.2013";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900005013";
"SBOP BI PLATFORM 4.3";"SAP BusinessObjects Business Intelligence platform 4.3";"SBOP BI PLATFORM (ENTERPRISE)";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Unrestricted available";"";"12.06.2020";"12.06.2020";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001819";
"SAP SOLUTION MANAGER 7.2";"SAP Solution Manager 7.2";"SAP SOLUTION MANAGER";"SAP Solution Manager";"Technology Platform";"No";"Unrestricted available";"";"11.12.2015";"15.08.2016";"Ready";"11.12.2015";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900006067";
"SAP S/4HANA 2022";"SAP S/4HANA 2022";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"18.08.2022";"12.10.2022";"12.10.2022";"Ready";"";"31.12.2027";"";"";"31.03.2030";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005331";
"SBOP BI PLATFORM 2025";"SAP BusinessObjects Business Intelligence platform 2025";"SBOP BI PLATFORM (ENTERPRISE)";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Unrestricted available";"";"12.03.2025";"12.03.2025";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006902";
