Category,Subcategory,CheckName,DataSource,Command/Report/Query,Parser_Fields,SuggestedWeight,AutomationLevel,AI_Capability,RiskLevel,Prerequisites/DataSources,Notes
LANDSCAPE ARCHITECTURE,System Architecture,System Inventory - SID/Instances/Roles/Clients,abap/sapcontrol,ABAP: SM51/SM04 export or RFC get system list; sapcontrol -function GetInstanceList,"sid,instance,role,clients",3,Fully Automated,High,High,"SLD entries, RFC access, sapcontrol","Inventory of SIDs, instance numbers and clients"
LANDSCAPE ARCHITECTURE,System Architecture,SAP Kernel & Patch Level,sapcontrol/OS,sapcontrol -function GetVersionInfo OR examine kernel patch directories,"kernel_version,patch_level",2,Fully Automated,High,High,"sapcontrol, filesystem access",Detect outdated kernels and missing patches
LANDSCAPE ARCHITECTURE,System Architecture,Database Version and Patch,hana/hdbsql,"hdbsql ""SELECT VERSION,RELEASE FROM M_DATABASE;""","db_version,release",2,Fully Automated,High,High,hdbsql connectivity,HANA version & patch level
LANDSCAPE ARCHITECTURE,System Architecture,OS Version and Patch,os,cat /etc/os-release; uname -a; rpm -q kernel,"os_name,os_version,kernel_pkg",1,Fully Automated,High,Medium,"SSH access, package manager",OS baseline and patch currency
LANDSCAPE ARCHITECTURE,System Architecture,Naming Convention Consistency,os/abap,"Collect hostnames (hostname), SIDs from sapcontrol, evaluate against regex policy",hostname_pattern_matches,1,Semi-Automated,Medium,Low,Naming policy,Checks for naming policy violations
LANDSCAPE ARCHITECTURE,System Architecture,SLD Registration & Health,sap/sld,Query SLD entries (if available) or check SLD HTTP endpoint,"sld_entries,last_sync",1,Fully Automated,High,Medium,SLD endpoint access,Ensures landscapes are registered in SLD
LANDSCAPE ARCHITECTURE,System Architecture,RFC Destinations List (RFCDES),abap,ABAP table RFCDES extract or report RSRFCCHK,"rfc_name,type,auth_method",2,Fully Automated,High,High,RFC read access,Detect obsolete/insecure RFCs
LANDSCAPE ARCHITECTURE,System Architecture,RFC Security Flags and Usage,abap,"Query RFCDES columns (SNC, TRUST) and usage stats from logs","snc_enabled,trust,usage_count",1,Fully Automated,High,High,RFC tables/logs,Classify insecure RFC destinations
LANDSCAPE ARCHITECTURE,System Architecture,Integration Middleware Inventory (PI/PO/CPI),network/middleware,"List installed middleware systems (PI/PO), CPI tenants and configurations","middleware_list,versions,connections",1,Semi-Automated,Medium,Medium,Access to middleware admin APIs,Identify legacy middleware and dependencies
LANDSCAPE ARCHITECTURE,System Architecture,API Gateway & Third-party Integrations,cloud/api,"List API gateways, check registered APIs and policies","api_name,policy,auth",1,Semi-Automated,Medium,Medium,API gateway admin access,Check for missing governance
LANDSCAPE ARCHITECTURE,System Architecture,Web Dispatcher Config & Health,sap/webdispatcher,Inspect webdispatcher.conf and web dispatcher logs; check SSL termination settings,"health_status,ssl_termination,session_affinity",1,Fully Automated,High,Medium,Access to web dispatcher configs,Validate load balancing front-end config
LANDSCAPE ARCHITECTURE,System Architecture,Load Balancer Health & Session Persistence,cloud/lb,Cloud CLI: aws elbv2 describe-target-health / az network lb probe-list,"lb_status,session_persistence",1,Fully Automated,High,Medium,Cloud CLI access,Detect LB misconfigurations and health issues
LANDSCAPE ARCHITECTURE,System Architecture,Transport Routes Export (STMS),abap,STMS export of transport routes or table TMS*,"routes,consolidation",1,Fully Automated,High,High,STMS read access,Identify complex transport landscape
LANDSCAPE ARCHITECTURE,System Architecture,Transport Monitoring - Recent Failures,abap,Extract TP logs / TMS import logs (STMS) and count failures in last 30 days,"fail_count,failure_details",1,Fully Automated,High,High,STMS logs access,Assess transport reliability
LANDSCAPE ARCHITECTURE,System Architecture,Environment Isolation - Cross-system RFCs,abap,Query for RFCs between DEV/QAS/PRD that shouldn't exist,cross_rfc_list,1,Fully Automated,High,High,RFCDES and landscape mapping,Detect cross-environment access
LANDSCAPE ARCHITECTURE,System Architecture,Client Configuration Snapshot (SCC4),abap,Export SCC4 client settings and attributes,"client_id,type,roles",1,Fully Automated,Medium,Medium,SCC4 read access,Client separation & settings check
LANDSCAPE ARCHITECTURE,System Architecture,Access Methodology - SAProuter/VPN,network/os,"Check /etc/saproutertab, vpn endpoints and logs for remote-access patterns","saprouter_present,vpn_endpoints",1,Semi-Automated,Medium,High,Network access,Assess remote access controls
LANDSCAPE ARCHITECTURE,System Architecture,Compatibility Matrix Cross-check (SAP PAM),inventory,Collect system version data and compare to SAP Product Availability Matrix,compatibility_issues,1,Fully Automated,High,Medium,"Version data, SAP PAM reference",Detect unsupported combos
