Category,Subcategory,CheckName,DataSource,Command/Report/Query,Parser_Fields,SuggestedWeight,AutomationLevel,AI_Capability,RiskLevel,Prerequisites/DataSources,Notes
LANDSCAPE ARCHITECTURE,System Architecture,System Inventory - SID/Instances/Roles/Clients,abap/sapcontrol,ABAP: SM51/SM04 export or RFC get system list; sapcontrol -function GetInstanceList,"sid,instance,role,clients",3,Fully Automated,High,High,"SLD entries, RFC access, sapcontrol","Inventory of SIDs, instance numbers and clients"
LANDSCAPE ARCHITECTURE,System Architecture,SAP Kernel & Patch Level,sapcontrol/OS,sapcontrol -function GetVersionInfo OR examine kernel patch directories,"kernel_version,patch_level",2,Fully Automated,High,High,"sapcontrol, filesystem access",Detect outdated kernels and missing patches
LANDSCAPE ARCHITECTURE,System Architecture,Database Version and Patch,hana/hdbsql,"hdbsql ""SELECT VERSION,RELEASE FROM M_DATABASE;""","db_version,release",2,Fully Automated,High,High,hdbsql connectivity,HANA version & patch level
LANDSCAPE ARCHITECTURE,System Architecture,OS Version and Patch,os,cat /etc/os-release; uname -a; rpm -q kernel,"os_name,os_version,kernel_pkg",1,Fully Automated,High,Medium,"SSH access, package manager",OS baseline and patch currency
LANDSCAPE ARCHITECTURE,System Architecture,Naming Convention Consistency,os/abap,"Collect hostnames (hostname), SIDs from sapcontrol, evaluate against regex policy",hostname_pattern_matches,1,Semi-Automated,Medium,Low,Naming policy,Checks for naming policy violations
TECHOPS,Delivery Playbook,Runbook Repository Existence,docs,Verify runbook documents in docs repo or evidence upload,runbook_exists,1,Manual,Low,Medium,Doc repository access,Documentation presence check
TECHOPS,Delivery Playbook,Runbook Currency (last update),docs,Check last modified timestamps of runbooks,last_updated_days,1,Semi-Automated,Medium,Medium,Doc repository metadata,Identify stale runbooks
TECHOPS,Delivery Playbook,Process Automation Coverage (%),automation,"Inventory automation scripts, percentage of processes automated",automation_pct,2,Semi-Automated,Medium,High,"Script inventory, job configs",Measure automation maturity
TECHOPS,Delivery Playbook,Automation Test Coverage,automation/testing,Check unit/integration tests for automation scripts,test_coverage,1,Semi-Automated,Medium,Medium,Repo/test reports,Assess script reliability
TECHOPS,SOPs,SOP Document Presence,docs,Check SOP docs in repository,sop_exists,1,Manual,Low,Medium,Doc repository,Baseline SOP audit
OBSERVABILITY,System Availability,Monitoring Coverage - Servers/Network/Storage,monitoring/inventory,Compare inventory against monitored endpoints list,coverage_pct,2,Fully Automated,High,High,Monitoring & inventory data,Identify blind spots
OBSERVABILITY,System Availability,Application-specific Monitoring (SAP meters),sap/monitoring,"Check SAP-specific metrics collection (workprocess, RFC, dialogs)",sap_metric_present,2,Fully Automated,High,High,APM/monitoring config,SAP-aware monitoring presence
OBSERVABILITY,System Availability,Alert Threshold & Escalation Assessment,monitoring/alerts,Export alert rules and verify thresholds and routes,alert_rules_count,1,Semi-Automated,Medium,High,Alert configs,Tune alerts to reduce noise
OBSERVABILITY,System Availability,Centralized Logging / Log Aggregation,logging,Verify log shippers and central index (ELK/Graylog/Splunk),log_ingest_rate,1,Fully Automated,High,Medium,Log shipper configs,Centralize diagnostics
OBSERVABILITY,System Performance,Business KPI Monitoring Presence,bpm/monitoring,Check if business KPIs are being collected and mapped,bpm_kpi_list,1,Semi-Automated,Medium,Medium,Business metrics,Align technical metrics to business SLAs
BUSINESS RESILIENCY,BCP/Recovery,Crisis Management Plan Documented,docs,Check for existence of incident response plan file or evidence,plan_exists,1,Manual,Low,Medium,Doc repo,Governance requirement
BUSINESS RESILIENCY,BCP/Recovery,Recovery Playbooks - Runbook for DR,docs/automation,Check playbook artifacts and runbook automation status,"playbook_exists,automated",1,Manual,Low,High,Playbook repo,Operational readiness
BUSINESS RESILIENCY,BCP/Recovery,Business Impact Analysis - Critical Processes,business,Verify BIA outputs listing RTO/RPO per process,bia_present,1,Semi-Automated,Medium,High,BIA documents,Prioritize recovery
BUSINESS RESILIENCY,HA & DR,HANA System Replication Status,hana,"hdbsql ""SELECT * FROM M_SYSTEM_REPLICATION""","replication_status,lag",2,Fully Automated,High,High,hdbsql,Assess replication health
BUSINESS RESILIENCY,HA & DR,Cluster Configuration & Pacemaker Health,os/cluster,crm status / pcs status; check resource constraints,cluster_state,1,Fully Automated,High,High,"SSH, cluster access",HA cluster validation
SECURITY COMPLIANCE,Vulnerability & Patch,Vulnerability Scanning Frequency & Results,sec/scan,Parse vulnerability scan reports (Nessus/Tenable) and list criticals,vuln_counts,1,Semi-Automated,Medium,High,Scan report access,Detect exposures
